#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile,Seat_Registered,Seat_Polled,Female_Voters,Male_Voters,Youth_Voters,Senior_Voters,youth_pct,services_pct,agri_pct,homemaker_pct,elderly_pct,Cultivators_Pct,AgriLabour_Pct,HouseholdIndustry_Pct,OtherWorkers_Pct,Literacy_Pct,Urban_Pct,Seat_Type,SC_Boost,Turnout_Surge_Type,TVK_Zone,Anti_Incumbency_Score,Incumbency_Factor,Voter_Profile_Extended,Winner_2021_Party,SC_ST_Pop_Pct,Margin_2021_Category,Incumbent_Recontesting,SC_Voter_Boost,Constituency_Registered_Voters
11,Dr. Radhakrishnan Nagar,,199359,25.52%,Chennai,Chennai North,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Dr. Radhakrishnan Nagar (Chennai). Region Culture: Urban. Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",199359,170890,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Dr. Radhakrishnan Nagar (Chennai). Region Culture: Urban. Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,199359
12,Perambur,-,226296,29.47%,Chennai,Chennai North,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Perambur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",226296,193980,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Perambur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: YES.",DMK,14.5,LANDSLIDE,YES,-0.38,226296
13,Kolathur,-,211772,26.28%,Chennai,Chennai North,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Kolathur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",211772,181530,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Kolathur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: YES.",DMK,14.5,LANDSLIDE,YES,-0.38,211772
14,Villivakkam,-,163372,37.42%,Chennai,Chennai Central,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Villivakkam (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",163372,140042,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Villivakkam (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,163372
15,Thiru-Vi-Ka-Nagar,SC,181621,18.51%,Chennai,Chennai North,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thiru-Vi-Ka-Nagar (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",181621,155685,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Thiru-Vi-Ka-Nagar (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,181621
16,Egmore,SC,138775,50.79%,Chennai,Chennai Central,1957.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Egmore (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",138775,118957,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Egmore (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: SAFE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,LANDSLIDE,LIKELY_YES,-0.38,138775
17,Royapuram,-,159654,18.53%,Chennai,Chennai North,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Royapuram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",159654,136855,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Royapuram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,159654
18,Harbour,-,120126,33.49%,Chennai,Chennai Central,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Harbour (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",120126,102972,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Harbour (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: YES.",DMK,14.5,LANDSLIDE,YES,-0.38,120126
19,Chepauk-Thiruvallikeni,-,166023,29.99%,Chennai,Chennai Central,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Chepauk-Thiruvallikeni (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",166023,142314,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,SAFE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Chepauk-Thiruvallikeni (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: YES.",DMK,14.5,LANDSLIDE,YES,-0.38,166023
20,Thousand Lights,-,157529,35.89%,Chennai,Chennai Central,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thousand Lights (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",157529,135033,109914,105182,45600,79155,0.234,0.442,0.009,0.226,0.088,0.1,1.0,2.3,96.6,90.2,100.0,COMPETITIVE,0,BASE_MOBILISATION,HIGH,0,COMPETITIVE,"Assembly Constituency: Thousand Lights (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: HIGH.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,14.5,COMFORTABLE,LIKELY_YES,-0.38,157529
