#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile
16,Egmore,SC,138775,50.79%,Chennai,Chennai Central,1957.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Egmore (Chennai). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
17,Royapuram,-,159654,18.53%,Chennai,Chennai North,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Royapuram (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
18,Harbour,-,120126,33.49%,Chennai,Chennai Central,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Harbour (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
19,Chepauk-Thiruvallikeni,-,166023,29.99%,Chennai,Chennai Central,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Chepauk-Thiruvallikeni (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
20,Thousand Lights,-,157529,35.89%,Chennai,Chennai Central,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thousand Lights (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
21,Anna Nagar,-,188861,36.58%,Chennai,Chennai Central,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Anna Nagar (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
22,Virugampakkam,-,200578,32.61%,Chennai,Chennai South,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Virugampakkam (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
23,Saidapet,-,204146,28.06%,Chennai,Chennai South,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Saidapet (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
24,Thiyagarayanagar,-,158757,36.76%,Chennai,Chennai South,1957.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Thiyagarayanagar (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
25,Mylapore,-,199465,28.02%,Chennai,Chennai South,1952.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Mylapore (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
26,Velachery,-,217171,32.70%,Chennai,Chennai South,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Velachery (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
27,Sholinganallur,-,553905,23.16%,Chennai,Chennai South,2011.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Sholinganallur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
28,Alandur,-,301055,23.90%,Chennai,Sriperumbudur,1977.0,,Chennai,Chennai,Urban,4014893,5.55,73.41,85.72,12.310000000000002,16,"Assembly Constituency: Alandur (Chennai). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
29,Sriperumbudur,SC,381750,5.83%,Kancheepuram,Sriperumbudur,1952.0,,Kanchipuram,Kanchipuram,Mixed,1288731,5.73,72.25,84.19,11.939999999999998,5,"Assembly Constituency: Sriperumbudur (Kancheepuram). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
30,Pallavaram,-,336963,24.29%,Chengalpattu,Sriperumbudur,2011.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Pallavaram (Chengalpattu). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
31,Tambaram,-,330060,22.10%,Chengalpattu,Sriperumbudur,1977.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Tambaram (Chengalpattu). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
32,Chengalpattu,-,372839,14.47%,Chengalpattu,Kanchipuram,1952.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Chengalpattu (Chengalpattu). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
33,Thiruporur,-,294410,1.77%,Chengalpattu,Kanchipuram,1952.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Thiruporur (Chengalpattu). Region Culture: Urban. This is a reserved constituency (-). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
34,Cheyyur,SC,203998,11.15%,Chengalpattu,Kanchipuram,2011.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Cheyyur (Chengalpattu). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
35,Madurantakam,SC,212639,6.79%,Chengalpattu,Kanchipuram,1952.0,,Chengalpattu,Chengalpattu,Urban,2973995,6.67,71.85,82.91,11.060000000000002,11,"Assembly Constituency: Madurantakam (Chengalpattu). Region Culture: Urban. This is a reserved constituency (SC). Highly literate, younger demographic with diverse professions (IT, services). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
36,Uthiramerur,-,246177,6.32%,Kancheepuram,Kanchipuram,1952.0,,Kanchipuram,Kanchipuram,Mixed,1288731,5.73,72.25,84.19,11.939999999999998,5,"Assembly Constituency: Uthiramerur (Kancheepuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
37,Kancheepuram,-,278775,10.62%,Kancheepuram,Kanchipuram,1952.0,,Kanchipuram,Kanchipuram,Mixed,1288731,5.73,72.25,84.19,11.939999999999998,5,"Assembly Constituency: Kancheepuram (Kancheepuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
38,Arakkonam,SC,200773,9.79%,Ranipet,Arakkonam,1952.0,,Ranipet,Ranipet,Mixed,1040898,3.49,72.53,84.51,11.980000000000004,4,"Assembly Constituency: Arakkonam (Ranipet). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
39,Sholingur,-,257522,7.69%,Ranipet,Arakkonam,1952.0,,Ranipet,Ranipet,Mixed,1040898,3.49,72.53,84.51,11.980000000000004,4,"Assembly Constituency: Sholingur (Ranipet). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
40,Katpadi,-,228736,9.16%,Vellore,Arakkonam,1962.0,,Vellore,Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5,"Assembly Constituency: Katpadi (Vellore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
41,Ranipet,-,248244,7.74%,Ranipet,Arakkonam,1952.0,,Ranipet,Ranipet,Mixed,1040898,3.49,72.53,84.51,11.980000000000004,4,"Assembly Constituency: Ranipet (Ranipet). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
42,Arcot,-,245319,7.20%,Ranipet,Arakkonam,1952.0,,Ranipet,Ranipet,Mixed,1040898,3.49,72.53,84.51,11.980000000000004,4,"Assembly Constituency: Arcot (Ranipet). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
43,Vellore,-,214504,16.59%,Vellore,Vellore,1952.0,,Vellore,Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5,"Assembly Constituency: Vellore (Vellore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
44,Anaikattu,-,238715,7.79%,Vellore,Vellore,1977.0,,Vellore,Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5,"Assembly Constituency: Anaikattu (Vellore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
45,Kilvaithinankuppam,SC,215304,6.07%,Vellore,Vellore,2011.0,,Vellore,Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5,"Assembly Constituency: Kilvaithinankuppam (Vellore). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
46,Gudiyatham,SC,251588,14.21%,Vellore,Vellore,1952.0,,Vellore,Vellore,Mixed,1288731,2.22,71.73,81.17,9.439999999999998,5,"Assembly Constituency: Gudiyatham (Vellore). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
47,Vaniyambadi,-,242540,3.66%,Tirupattur,Vellore,1952.0,,Tirupathur,Tirupathur,Mixed,941765,2.16,73.59,85.09,11.5,4,"Assembly Constituency: Vaniyambadi (Tirupattur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
48,Ambur,-,214469,10.66%,Tirupattur,Vellore,1957.0,,Tirupathur,Tirupathur,Mixed,941765,2.16,73.59,85.09,11.5,4,"Assembly Constituency: Ambur (Tirupattur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
49,Jolarpet,-,236127,2.33%,Tirupattur,Tiruvannamalai,2011.0,,Tirupathur,Tirupathur,Mixed,941765,2.16,73.59,85.09,11.5,4,"Assembly Constituency: Jolarpet (Tirupattur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
50,Tiruppattur,-,226691,5.71%,Tirupattur,Tiruvannamalai,1952.0,,Tirupathur,Tirupathur,Mixed,941765,2.16,73.59,85.09,11.5,4,"Assembly Constituency: Tiruppattur (Tirupattur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
51,Uthangarai,SC,235451,1.81%,Krishnagiri,Krishnagiri,2011.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Uthangarai (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
52,Bargur,-,239318,3.93%,Krishnagiri,Krishnagiri,1977.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Bargur (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
53,Krishnagiri,-,267366,0.42%,Krishnagiri,Krishnagiri,1952.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Krishnagiri (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
54,Veppanahalli,-,246093,2.97%,Krishnagiri,Krishnagiri,2011.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Veppanahalli (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
55,Hosur,-,342989,3.82%,Krishnagiri,Krishnagiri,1952.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Hosur (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
56,Thalli,-,237924,6.05%,Krishnagiri,Krishnagiri,1977.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Thalli (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
57,Palacode,-,240322,0.04%,Dharmapuri,Dharamapuri,1967.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Palacode (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
